scenario_id,coverage_unit_id,coverage_unit_type,control_coverage_status,claim_coverage_status,island_component_coverage_status,historical_overlay_coverage_status,source_evidence_status,notes
seven_years_war_1756_08_01,euc_00_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_01_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_02_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_03_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_04_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_05_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_06_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_07_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_08_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_09_00,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_00_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_01_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_02_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_03_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_04_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,SOURCE_IDENTIFIED,candidate source identified (see historical geometry catalogue); geometry pending
seven_years_war_1756_08_01,euc_05_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_06_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
seven_years_war_1756_08_01,euc_07_01,EUROPE_CHUNK,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,UNASSESSED,"no political data built yet — absence of control rows here means UNKNOWN, never neutral"
