metric,value,run_id
stage,MAPGEN-023,batch_islands_1756_20260815
base_commit_mapgen022,3f2208221c1005151f9fe4c215b6bc8d94d52fd9,batch_islands_1756_20260815
outcome,FULL,batch_islands_1756_20260815
baseline_source,reviews/MAPGEN-022/summary.csv (committed),batch_islands_1756_20260815
baseline_canonical_rows,32193,batch_islands_1756_20260815
baseline_controlled,31140,batch_islands_1756_20260815
baseline_unresolved,1053,batch_islands_1756_20260815
hardening_records,4,batch_islands_1756_20260815
hardening_rows_changed,0,batch_islands_1756_20260815
sicily_source_final,"Wenck, Codex iuris gentium recentissimi I (1781), Acta Pacis Vindobonensis doc. 1 Art. III p. 3; doc. 21; doc. 24",batch_islands_1756_20260815
sardinia_source_final,"ASTo Sezione Corte, Paesi, Sardegna, Economico, Cat. I, Mazzo 1, n. 17 (Inventaro delle Scritture del Razionale, 1720)",batch_islands_1756_20260815
pares_lead_result,ATTEMPTED_AND_UNREACHABLE,batch_islands_1756_20260815
iceland_landmass_ground_km2,102663.08,batch_islands_1756_20260815
iceland_landmass_projected_km2,572146.42,batch_islands_1756_20260815
malta_landmass_ground_km2,246.61,batch_islands_1756_20260815
gozo_landmass_ground_km2,66.03,batch_islands_1756_20260815
excluded_components,77,batch_islands_1756_20260815
faroes_result,EXCLUDED / SEPARATE_HOMAGE_SEPARATE_TERRITORY_NOT_ICELAND,batch_islands_1756_20260815
comino_result,EXCLUDED / NOT_NAMED_IN_THE_1530_PRIVILEGE,batch_islands_1756_20260815
surtsey_result,EXCLUDED / LAND_THAT_DID_NOT_EXIST_AT_THE_SNAPSHOT,batch_islands_1756_20260815
evidence_rows,8,batch_islands_1756_20260815
authorised_snapshot_features,9,batch_islands_1756_20260815
hexes_evaluated,19476,batch_islands_1756_20260815
iceland_membership_rows,19446,batch_islands_1756_20260815
malta_membership_rows,21,batch_islands_1756_20260815
gozo_membership_rows,9,batch_islands_1756_20260815
iceland_controlled,18341,batch_islands_1756_20260815
iceland_unresolved,16,batch_islands_1756_20260815
malta_controlled,12,batch_islands_1756_20260815
gozo_controlled,3,batch_islands_1756_20260815
malta_gozo_unresolved,0,batch_islands_1756_20260815
held_back_mixed_component,16,batch_islands_1756_20260815
not_produced_non_terrestrial_hexes,1104,batch_islands_1756_20260815
not_produced_authorised_km2,1427.7,batch_islands_1756_20260815
cross_component_hexes,0,batch_islands_1756_20260815
canonical_rows_before,32193,batch_islands_1756_20260815
canonical_rows_after,50565,batch_islands_1756_20260815
canonical_rows_added,18372,batch_islands_1756_20260815
canonical_controlled_after,49496,batch_islands_1756_20260815
canonical_unresolved_after,1069,batch_islands_1756_20260815
gb_controlled,20310,batch_islands_1756_20260815
ie_controlled,7520,batch_islands_1756_20260815
sicily_controlled,1305,batch_islands_1756_20260815
sardinia_controlled,1308,batch_islands_1756_20260815
saxony_controlled,695,batch_islands_1756_20260815
brandenburg_controlled,0,batch_islands_1756_20260815
area_residual_iceland_pct,-0.33,batch_islands_1756_20260815
area_residual_malta_pct,0.25,batch_islands_1756_20260815
area_residual_gozo_pct,-1.45,batch_islands_1756_20260815
geometry_simplified,NO,batch_islands_1756_20260815
geometry_duplicated_as_wkt,NO,batch_islands_1756_20260815
coverage_iceland,TERRITORY_PARTIAL,batch_islands_1756_20260815
coverage_malta,TERRITORY_PARTIAL,batch_islands_1756_20260815
coverage_gozo,TERRITORY_PARTIAL,batch_islands_1756_20260815
validation_pass,42/42,batch_islands_1756_20260815
