metric,value,run_id
stage,MAPGEN-013,central_europe_1756_expand_20260813
base_commit_mapgen012,1793ea1786d6c4796d1cb0349387a5046b2358fc,central_europe_1756_expand_20260813
promotion_schema_version,1.0.0,central_europe_1756_expand_20260813
promotion_algorithm_version,1.0.0,central_europe_1756_expand_20260813
canonical_rows_before,3,central_europe_1756_expand_20260813
canonical_rows_after,1614,central_europe_1756_expand_20260813
promoted_rows_mapgen012,1426,central_europe_1756_expand_20260813
promoted_rows_mapgen013,185,central_europe_1756_expand_20260813
mapgen013_rows_already_owned_by_mapgen012,4,central_europe_1756_expand_20260813
second_promotion_inserted,0,central_europe_1756_expand_20260813
provenance_rows,1611,central_europe_1756_expand_20260813
promotion_log_rows,2,central_europe_1756_expand_20260813
scenario_source_id,src_9d6f03b5c85f,central_europe_1756_expand_20260813
global_source_crosswalk,hsrc_34735c52ef0d,central_europe_1756_expand_20260813
canonical_controlled_rows,1098,central_europe_1756_expand_20260813
canonical_unresolved_rows,516,central_europe_1756_expand_20260813
mapgen012_controlled_promoted,1096,central_europe_1756_expand_20260813
mapgen012_unresolved_promoted,330,central_europe_1756_expand_20260813
mapgen012_rows_that_would_change_at_new_uncertainty,401,central_europe_1756_expand_20260813
mapgen013_controlled_rows,0,central_europe_1756_expand_20260813
mapgen013_unresolved_rows,185,central_europe_1756_expand_20260813
transform_selected,PROJECTIVE,central_europe_1756_expand_20260813
gcps_total,14,central_europe_1756_expand_20260813
independent_settlement_checks,4,central_europe_1756_expand_20260813
positional_uncertainty_km_mapgen012,2.975,central_europe_1756_expand_20260813
positional_uncertainty_km_mapgen013,9.168,central_europe_1756_expand_20260813
regions_audited,7,central_europe_1756_expand_20260813
regions_registered_as_polities,2,central_europe_1756_expand_20260813
regions_deferred_polity_gap,5,central_europe_1756_expand_20260813
polities_total,68,central_europe_1756_expand_20260813
scenario_polities_total,68,central_europe_1756_expand_20260813
production_features,3,central_europe_1756_expand_20260813
represented_production_polities,3,central_europe_1756_expand_20260813
pilot_extent_hexes,4553,central_europe_1756_expand_20260813
hex_membership_rows,1619,central_europe_1756_expand_20260813
multi_polity_border_hexes,16,central_europe_1756_expand_20260813
cartographic_uncertainty_hexes,916,central_europe_1756_expand_20260813
raw_symmetric_difference_km2,2457.0,central_europe_1756_expand_20260813
authoritative_symmetric_difference_km2,8896.4,central_europe_1756_expand_20260813
unresolved_land_km2,11335.8,central_europe_1756_expand_20260813
topology_pairs,3,central_europe_1756_expand_20260813
topology_overlaps,0,central_europe_1756_expand_20260813
topology_source_disagreements,0,central_europe_1756_expand_20260813
overlay_candidates,0,central_europe_1756_expand_20260813
validation_pass,37/37,central_europe_1756_expand_20260813
